"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
382,682000,1,1,1552,19,99,172,4,252,348,84,574
383,683000,1,1,1675,64,109,192,3,245,406,109,547
384,684000,1,1,1599,11,84,199,4,243,388,87,583
385,685000,1,1,1563,44,91,170,12,242,409,106,489
386,686000,1,1,1569,44,103,163,3,255,350,94,557
387,687000,1,1,1749,55,93,187,4,251,433,91,635
388,688000,1,1,1634,44,111,214,8,252,349,107,549
389,689000,1,1,1520,8,94,174,2,247,371,96,528
390,690000,1,1,1658,56,93,175,10,257,370,90,607
391,691000,1,1,1900,18,108,188,11,232,516,117,710
392,692000,1,1,1807,50,96,198,8,260,461,83,651
393,693000,1,1,1571,41,105,176,4,232,335,103,575
394,694000,1,1,1562,33,103,173,5,248,334,86,580
395,695000,1,1,1767,49,106,156,8,259,459,98,632
396,696000,1,1,1708,18,94,180,7,283,459,97,570
397,697000,1,1,1725,32,114,162,3,277,434,76,627
398,698000,1,1,1422,41,99,177,2,234,266,110,493
399,699000,1,1,1642,37,89,189,2,240,393,98,594
400,700000,1,1,1528,48,84,159,5,272,301,100,559
401,701000,1,1,1531,33,99,198,2,261,322,96,520
402,702000,1,1,1531,31,105,153,9,262,325,86,560
403,703000,1,1,1536,29,93,158,5,232,326,111,582
404,704000,1,1,1638,23,94,175,6,246,380,89,625
405,705000,1,1,1550,43,89,155,8,243,355,86,571
406,706000,1,1,1445,52,88,153,5,260,247,82,558
407,707000,1,1,1514,20,95,167,4,232,329,102,565
408,708000,1,1,1714,39,101,170,4,249,410,101,640
409,709000,1,1,1551,22,102,210,8,254,310,107,538
410,710000,1,1,1678,88,74,214,7,237,397,106,555
411,711000,1,1,1582,67,103,181,0,232,361,99,539
412,712000,1,1,1505,34,84,169,6,254,313,85,560
413,713000,1,1,1502,42,76,207,6,244,299,105,523
414,714000,1,1,1624,51,101,198,5,242,386,99,542
415,715000,1,1,1550,46,103,189,7,233,322,103,547
416,716000,1,1,1731,34,97,174,11,221,438,98,658
417,717000,1,1,1611,28,91,186,9,217,399,118,563
418,718000,1,1,1748,22,93,156,8,286,467,81,635
419,719000,1,1,1654,38,96,195,7,237,424,92,565
420,720000,1,1,1580,24,102,185,5,252,351,89,572
421,721000,1,1,1676,27,101,199,10,206,442,123,568
422,722000,1,1,1510,65,104,202,3,240,301,91,504
423,723000,1,1,1609,22,98,189,2,253,397,98,550
424,724000,1,1,1603,36,106,171,5,252,366,94,573
425,725000,1,1,1534,39,108,216,4,218,315,124,510
426,726000,1,1,1527,12,88,224,3,232,336,114,518
427,727000,1,1,1591,35,100,202,4,229,370,98,553
428,728000,1,1,1565,50,112,134,0,271,364,76,558
429,729000,1,1,1699,35,110,193,2,252,422,103,582
